Isolate	Line	Score	Experiment	Linecode
97223	asis_34	1	Exp1	1
97223	asis_34	1	Exp1	1
97223	asis_34	1	Exp1	1
97223	bPm17_34	0	Exp1	2
97223	bPm17_34	0	Exp1	2
97223	bPm17_34	0	Exp1	2
97223	bPm17_34	0	Exp1	2
97223	bPm17_34	0	Exp1	2
97223	bPm17_34	0	Exp1	2
97223	csis_181	1	Exp1	3
97223	csis_181	1	Exp1	3
97223	csis_181	1	Exp1	3
97223	dPm17_181	0	Exp1	4
97223	dPm17_181	0	Exp1	4
97223	dPm17_181	0	Exp1	4
97223	dPm17_181	0	Exp1	4
97223	dPm17_181	0	Exp1	4
97223	dPm17_181	0	Exp1	4
97223	asis_34	1	Exp2	1
97223	asis_34	1	Exp2	1
97223	asis_34	1	Exp2	1
97223	asis_34	1	Exp2	1
97223	asis_34	1	Exp2	1
97223	asis_34	1	Exp2	1
97223	bPm17_34	0	Exp2	2
97223	bPm17_34	0	Exp2	2
97223	bPm17_34	0	Exp2	2
97223	bPm17_34	0	Exp2	2
97223	bPm17_34	0	Exp2	2
97223	bPm17_34	0	Exp2	2
97223	csis_181	1	Exp2	3
97223	csis_181	1	Exp2	3
97223	csis_181	1	Exp2	3
97223	csis_181	1	Exp2	3
97223	csis_181	1	Exp2	3
97223	csis_181	1	Exp2	3
97223	dPm17_181	0	Exp2	4
97223	dPm17_181	0	Exp2	4
97223	dPm17_181	0	Exp2	4
97223	dPm17_181	0	Exp2	4
97223	dPm17_181	0	Exp2	4
97223	dPm17_181	0	Exp2	4
97223	asis_34	1	Exp3	1
97223	asis_34	1	Exp3	1
97223	asis_34	1	Exp3	1
97223	asis_34	1	Exp3	1
97223	asis_34	1	Exp3	1
97223	asis_34	1	Exp3	1
97223	bPm17_34	0	Exp3	2
97223	bPm17_34	0	Exp3	2
97223	bPm17_34	0	Exp3	2
97223	bPm17_34	0	Exp3	2
97223	bPm17_34	0	Exp3	2
97223	bPm17_34	0	Exp3	2
97223	csis_181	1	Exp3	3
97223	csis_181	1	Exp3	3
97223	csis_181	1	Exp3	3
97223	csis_181	1	Exp3	3
97223	csis_181	1	Exp3	3
97223	csis_181	1	Exp3	3
97223	dPm17_181	0	Exp3	4
97223	dPm17_181	0	Exp3	4
97223	dPm17_181	0	Exp3	4
97223	dPm17_181	0	Exp3	4
97223	dPm17_181	0	Exp3	4
97223	dPm17_181	0	Exp3	4
